test_id,test_type,arm,safety,trigger,expected,actual,pass
S1,state,OFF,SAFE,REL,NO_FIRE,,
S2,state,OFF,SAFE,PRESS,NO_FIRE,,
S3,state,OFF,FIRE,REL,NO_FIRE,,
S4,state,OFF,FIRE,PRESS,NO_FIRE,,
S5,state,ON,SAFE,REL,NO_FIRE,,
S6,state,ON,SAFE,PRESS,NO_FIRE,,
S7,state,ON,FIRE,REL,NO_FIRE,,
S8,state,ON,FIRE,PRESS,FIRE,,
F1,failure,-,-,Battery disconnected,NO_FIRE,,
F2,failure,-,-,Low battery,NO_FIRE,,
F3,failure,-,-,ARM stuck ON,NO_FIRE,,
F4,failure,-,-,Solenoid disconnected,NO_FIRE,,
F5,failure,-,-,Arduino reset,NO_FIRE,,
I1,indication,-,-,Power OFF,LED_OFF,,
I2,indication,-,-,Power ON SAFE,LED_GREEN,,
I3,indication,-,-,Power ON ARMED,LED_RED,,
I4,indication,-,-,Low battery,LED_FLASH,,
L1,live,ON,FIRE,PRESS,FIRE,,
L2,live,ON,FIRE,PRESS,FIRE,,
L3,live,ON,FIRE,PRESS,FIRE,,
L4,live,ON,SAFE,PRESS,NO_FIRE,,
L5,live,ON,SAFE,PRESS,NO_FIRE,,
L6,live,ON,SAFE,PRESS,NO_FIRE,,
